<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;17/03/17;000000;1.0764500;1.0782400;1.0725000;1.0736600
EURUSD;D;18/03/17;000000;1.0736000;1.0742000;1.0733800;1.0733800
EURUSD;D;19/03/17;000000;1.0736000;1.0738000;1.0727000;1.0730400
EURUSD;D;20/03/17;000000;1.0735900;1.0777300;1.0722000;1.0739400
EURUSD;D;21/03/17;000000;1.0738000;1.0820000;1.0717000;1.0810000
EURUSD;D;22/03/17;000000;1.0809500;1.0824700;1.0773000;1.0796800
EURUSD;D;23/03/17;000000;1.0796100;1.0805000;1.0766000;1.0782300
EURUSD;D;24/03/17;000000;1.0781800;1.0818100;1.0758000;1.0797000
EURUSD;D;25/03/17;000000;1.0797000;1.0798000;1.0795000;1.0795000
EURUSD;D;26/03/17;000000;1.0795000;1.0846400;1.0794000;1.0836200
EURUSD;D;27/03/17;000000;1.0836400;1.0906100;1.0824000;1.0863200
EURUSD;D;28/03/17;000000;1.0864200;1.0872700;1.0796000;1.0810300
EURUSD;D;29/03/17;000000;1.0811400;1.0826600;1.0737000;1.0764000
EURUSD;D;30/03/17;000000;1.0764000;1.0770000;1.0669000;1.0673700
EURUSD;D;31/03/17;000000;1.0674800;1.0701900;1.0649900;1.0651500
EURUSD;D;01/04/17;000000;1.0651000;1.0665000;1.0649800;1.0663000
EURUSD;D;02/04/17;000000;1.0658000;1.0664000;1.0656400;1.0660500
EURUSD;D;03/04/17;000000;1.0657300;1.0681100;1.0640000;1.0668900
EURUSD;D;04/04/17;000000;1.0668900;1.0677300;1.0633000;1.0672900
EURUSD;D;05/04/17;000000;1.0671700;1.0690000;1.0633600;1.0662100
EURUSD;D;06/04/17;000000;1.0660600;1.0684100;1.0627000;1.0643600
EURUSD;D;07/04/17;000000;1.0643800;1.0667200;1.0578000;1.0589500
EURUSD;D;09/04/17;000000;1.0595000;1.0602000;1.0578100;1.0586800
EURUSD;D;10/04/17;000000;1.0586400;1.0606700;1.0568000;1.0595300
EURUSD;D;11/04/17;000000;1.0594400;1.0630100;1.0576000;1.0604500
EURUSD;D;12/04/17;000000;1.0603800;1.0675100;1.0587000;1.0663700
EURUSD;D;13/04/17;000000;1.0662400;1.0677700;1.0607700;1.0613100
EURUSD;D;14/04/17;000000;1.0613000;1.0630000;1.0604000;1.0610700
EURUSD;D;15/04/17;000000;1.0610100;1.0611700;1.0610100;1.0611700
EURUSD;D;16/04/17;000000;1.0613000;1.0619000;1.0608400;1.0615600
EURUSD;D;17/04/17;000000;1.0615000;1.0670500;1.0600800;1.0642400
EURUSD;D;18/04/17;000000;1.0642400;1.0736000;1.0635000;1.0730400
EURUSD;D;19/04/17;000000;1.0730500;1.0736900;1.0698000;1.0710100
EURUSD;D;20/04/17;000000;1.0711000;1.0777600;1.0706000;1.0716800
EURUSD;D;21/04/17;000000;1.0716800;1.0738100;1.0680000;1.0724600
EURUSD;D;23/04/17;000000;1.0879500;1.0933400;1.0874600;1.0917500
EURUSD;D;24/04/17;000000;1.0918500;1.0918500;1.0818000;1.0867100
