<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURRUB;D;03/04/14;000000;48.7480000;49.0330000;48.5526000;48.8123000
EURRUB;D;04/04/14;000000;48.8490000;48.8490000;48.2070000;48.3685000
EURRUB;D;05/04/14;000000;48.3780000;48.4090000;48.2910000;48.4060000
EURRUB;D;07/04/14;000000;48.3850000;49.0940000;48.1500000;48.8848000
EURRUB;D;08/04/14;000000;48.8960000;49.3631000;48.7290000;49.2160000
EURRUB;D;09/04/14;000000;49.2880000;49.3980000;49.0480000;49.2300000
EURRUB;D;10/04/14;000000;49.2320000;49.4350000;49.1084000;49.3680000
EURRUB;D;11/04/14;000000;49.3670000;49.6690000;49.3321000;49.4660000
EURRUB;D;12/04/14;000000;49.4720000;49.6300000;49.3810000;49.6270000
EURRUB;D;13/04/14;000000;49.4260000;49.4260000;49.4260000;49.4260000
EURRUB;D;14/04/14;000000;49.2987000;49.8720000;49.2951000;49.6450000
EURRUB;D;15/04/14;000000;49.6340000;50.0660000;49.5980000;50.0541000
EURRUB;D;16/04/14;000000;50.0980000;50.1750000;49.6901000;49.7910000
EURRUB;D;17/04/14;000000;49.7510000;49.8970000;48.9120000;49.0190000
EURRUB;D;18/04/14;000000;49.0000000;49.2299000;48.8730000;49.1434000
EURRUB;D;19/04/14;000000;49.1320000;49.1900000;49.0800000;49.0960000
EURRUB;D;21/04/14;000000;49.1374000;49.3310000;49.0690000;49.1820000
EURRUB;D;22/04/14;000000;49.2204000;49.4290000;49.1390000;49.2810000
EURRUB;D;23/04/14;000000;49.3000000;49.4590000;49.1840000;49.3070000
EURRUB;D;24/04/14;000000;49.2930000;49.4960000;49.2356000;49.4113000
EURRUB;D;25/04/14;000000;49.4480000;49.9310000;49.3900000;49.8510000
EURRUB;D;26/04/14;000000;49.8550000;49.8620000;49.7580000;49.8190000
EURRUB;D;27/04/14;000000;49.7960000;49.7960000;49.7960000;49.7960000
EURRUB;D;28/04/14;000000;49.8450000;50.0730000;49.5710000;49.5902000
EURRUB;D;29/04/14;000000;49.6050000;49.7420000;49.1330000;49.2250000
EURRUB;D;30/04/14;000000;49.1960000;49.5430000;49.1180000;49.3966000
EURRUB;D;01/05/14;000000;49.4100000;49.4870000;49.2950000;49.3760000
EURRUB;D;02/05/14;000000;49.3870000;49.7850000;49.2200000;49.7290000
EURRUB;D;03/05/14;000000;49.7410000;49.7860000;49.5960000;49.6800000
EURRUB;D;05/05/14;000000;49.6883000;49.7540000;49.4780000;49.5440000
EURRUB;D;06/05/14;000000;49.6990000;49.7240000;49.4036000;49.4200000
EURRUB;D;07/05/14;000000;49.3250000;49.5140000;48.5470000;48.6260000
EURRUB;D;08/05/14;000000;48.5950000;49.0350000;48.4090000;48.4880000
EURRUB;D;09/05/14;000000;48.5750000;48.7160000;48.3290000;48.4370000
EURRUB;D;10/05/14;000000;48.4550000;48.4690000;48.4020000;48.4080000
EURRUB;D;11/05/14;000000;48.4080000;48.4080000;48.4080000;48.4080000
EURRUB;D;12/05/14;000000;48.4270000;48.6080000;48.1350000;48.1590000
EURRUB;D;13/05/14;000000;48.2290000;48.2510000;47.6357000;47.7465000
EURRUB;D;14/05/14;000000;47.7360000;47.8134000;47.4347000;47.6250000
EURRUB;D;15/05/14;000000;47.6180000;47.8001000;47.2895000;47.6323000
EURRUB;D;16/05/14;000000;47.6460000;47.7850000;47.4747000;47.5980000
EURRUB;D;17/05/14;000000;47.6340000;47.6360000;47.5060000;47.6240000
EURRUB;D;18/05/14;000000;47.5760000;47.5760000;47.5530000;47.5530000
EURRUB;D;19/05/14;000000;47.6012000;47.7450000;47.2710000;47.3650000
EURRUB;D;20/05/14;000000;47.4068000;47.5730000;47.2220000;47.2920000
EURRUB;D;21/05/14;000000;47.3050000;47.3920000;46.8719000;46.9060000
EURRUB;D;22/05/14;000000;46.9460000;47.1030000;46.7255000;46.8730000
EURRUB;D;23/05/14;000000;46.8500000;46.8880000;46.4000000;46.4200000
EURRUB;D;24/05/14;000000;46.4910000;46.5660000;46.3910000;46.4890000
EURRUB;D;25/05/14;000000;46.4730000;46.4730000;46.4470000;46.4610000
EURRUB;D;26/05/14;000000;46.4537000;46.6640000;46.3095000;46.6340000
EURRUB;D;27/05/14;000000;46.6280000;47.1710000;46.5900000;46.8620000
EURRUB;D;28/05/14;000000;46.9400000;47.0847000;46.8010000;46.9430000
EURRUB;D;29/05/14;000000;46.9920000;47.2830000;46.9048000;47.1376000
EURRUB;D;30/05/14;000000;47.1770000;47.6380000;47.0900000;47.5400000
EURRUB;D;31/05/14;000000;47.5550000;47.5830000;47.4850000;47.5560000
EURRUB;D;01/06/14;000000;47.5990000;47.5990000;47.5990000;47.5990000
EURRUB;D;02/06/14;000000;47.5469000;47.6440000;47.3680000;47.5109000
EURRUB;D;03/06/14;000000;47.4880000;47.8130000;47.3870000;47.7130000
EURRUB;D;04/06/14;000000;47.7980000;47.9820000;47.5250000;47.5438000
EURRUB;D;05/06/14;000000;47.5590000;47.6280000;46.9415000;47.3920000
EURRUB;D;06/06/14;000000;47.3780000;47.4430000;46.8924000;46.9360000
EURRUB;D;07/06/14;000000;46.9310000;46.9420000;46.8090000;46.9350000
EURRUB;D;08/06/14;000000;46.9390000;46.9390000;46.9390000;46.9390000
EURRUB;D;09/06/14;000000;46.9140000;47.0536000;46.6006000;46.6560000
EURRUB;D;10/06/14;000000;46.6550000;46.8220000;46.4000000;46.5236000
EURRUB;D;11/06/14;000000;46.5150000;46.6478000;46.3690000;46.4690000
EURRUB;D;12/06/14;000000;46.4990000;46.6500000;46.3623000;46.5850000
EURRUB;D;13/06/14;000000;46.6432000;46.7770000;46.4520000;46.5290000
EURRUB;D;14/06/14;000000;46.5520000;46.5860000;46.4310000;46.5540000
EURRUB;D;15/06/14;000000;46.5270000;46.5270000;46.4050000;46.5080000
EURRUB;D;16/06/14;000000;46.5316000;47.0710000;46.4730000;46.9890000
EURRUB;D;17/06/14;000000;46.9950000;47.3030000;46.9250000;47.1560000
EURRUB;D;18/06/14;000000;47.1720000;47.2230000;46.6530000;46.7250000
EURRUB;D;19/06/14;000000;46.7240000;46.9460000;46.5752000;46.7490000
EURRUB;D;20/06/14;000000;46.7815000;46.9730000;46.6100000;46.8550000
EURRUB;D;21/06/14;000000;46.8600000;46.8860000;46.7260000;46.8860000
EURRUB;D;22/06/14;000000;46.8400000;46.8400000;46.8400000;46.8400000
EURRUB;D;23/06/14;000000;46.8377000;46.9450000;46.3760000;46.3890000
EURRUB;D;24/06/14;000000;46.3970000;46.6070000;45.7410000;46.0060000
EURRUB;D;25/06/14;000000;46.0090000;46.2310000;45.8936000;46.0050000
EURRUB;D;26/06/14;000000;46.0060000;46.1160000;45.7233000;45.8260000
EURRUB;D;27/06/14;000000;45.8050000;46.0505000;45.6946000;46.0210000
EURRUB;D;28/06/14;000000;46.0360000;46.0640000;45.9310000;46.0420000
EURRUB;D;29/06/14;000000;46.0300000;46.0430000;46.0300000;46.0430000
EURRUB;D;30/06/14;000000;46.0318000;46.6270000;45.9489000;46.5090000
EURRUB;D;01/07/14;000000;46.5230000;47.0290000;46.4600000;46.9510000
EURRUB;D;02/07/14;000000;46.9470000;47.0160000;46.6870000;46.8190000
EURRUB;D;03/07/14;000000;46.8010000;46.9039000;46.5470000;46.6380000
EURRUB;D;04/07/14;000000;46.6440000;46.9060000;46.4900000;46.7590000
EURRUB;D;05/07/14;000000;46.7750000;46.7750000;46.5760000;46.7750000
EURRUB;D;07/07/14;000000;46.7665000;47.0180000;46.5500000;46.8740000
EURRUB;D;08/07/14;000000;46.8640000;46.9470000;46.4740000;46.5960000
EURRUB;D;09/07/14;000000;46.5960000;46.6190000;46.2010000;46.2730000
EURRUB;D;10/07/14;000000;46.2610000;46.5130000;45.9980000;46.1590000
EURRUB;D;11/07/14;000000;46.1780000;46.5550000;46.1336000;46.4870000
EURRUB;D;12/07/14;000000;46.4140000;46.5320000;46.4140000;46.5320000
EURRUB;D;13/07/14;000000;46.4870000;46.4870000;46.4870000;46.4870000
EURRUB;D;14/07/14;000000;46.4885000;46.8200000;46.3819000;46.7291000
EURRUB;D;15/07/14;000000;46.7560000;46.8530000;46.6168000;46.6517000
EURRUB;D;16/07/14;000000;46.6550000;46.7150000;46.4794000;46.4890000
EURRUB;D;17/07/14;000000;46.5020000;47.6770000;46.4768000;47.6110000
EURRUB;D;18/07/14;000000;47.5980000;47.7112000;47.2710000;47.5391000
EURRUB;D;19/07/14;000000;47.5280000;47.5610000;47.3610000;47.5530000
EURRUB;D;20/07/14;000000;47.3680000;47.3680000;47.3680000;47.3680000
EURRUB;D;21/07/14;000000;47.5496000;47.7090000;47.3680000;47.5590000
EURRUB;D;22/07/14;000000;47.5620000;47.5970000;46.9640000;47.0570000
EURRUB;D;23/07/14;000000;47.0830000;47.1080000;46.7930000;46.9250000
EURRUB;D;24/07/14;000000;46.9560000;47.3060000;46.8480000;47.1710000
EURRUB;D;25/07/14;000000;47.2010000;47.3130000;47.0560000;47.1830000
EURRUB;D;26/07/14;000000;47.1860000;47.2150000;47.1030000;47.2150000
EURRUB;D;28/07/14;000000;47.1959000;47.7830000;47.0760000;47.7530000
EURRUB;D;29/07/14;000000;47.7190000;48.0230000;47.4930000;48.0160000
EURRUB;D;30/07/14;000000;48.0020000;48.1700000;47.4705000;47.6150000
EURRUB;D;31/07/14;000000;47.6590000;47.8587000;47.3220000;47.8380000
EURRUB;D;01/08/14;000000;47.8170000;48.0900000;47.6860000;47.9708000
EURRUB;D;02/08/14;000000;47.9760000;48.0370000;47.9340000;48.0110000
EURRUB;D;04/08/14;000000;47.9869000;48.1080000;47.7710000;48.0220000
EURRUB;D;05/08/14;000000;48.0750000;48.2818000;47.8789000;48.2540000
EURRUB;D;06/08/14;000000;48.2630000;48.4635000;48.1050000;48.4170000
EURRUB;D;07/08/14;000000;48.4240000;48.7140000;48.2830000;48.4800000
EURRUB;D;08/08/14;000000;48.5010000;48.9060000;48.3870000;48.4500000
EURRUB;D;09/08/14;000000;48.4700000;48.7100000;48.4090000;48.4740000
EURRUB;D;10/08/14;000000;48.4440000;48.4440000;48.4440000;48.4440000
EURRUB;D;11/08/14;000000;48.4448000;48.6970000;48.0253000;48.0380000
EURRUB;D;12/08/14;000000;48.0610000;48.3800000;47.9695000;48.3500000
EURRUB;D;13/08/14;000000;48.3320000;48.5200000;48.0850000;48.1170000
EURRUB;D;14/08/14;000000;48.0910000;48.2710000;47.9570000;48.1100000
EURRUB;D;15/08/14;000000;48.1440000;48.6530000;47.9490000;48.3630000
EURRUB;D;16/08/14;000000;48.3910000;48.4270000;48.1970000;48.3890000
EURRUB;D;18/08/14;000000;48.3549000;48.3755000;48.0540000;48.1920000
EURRUB;D;19/08/14;000000;48.1780000;48.3330000;48.0520000;48.1490000
EURRUB;D;20/08/14;000000;48.1650000;48.2800000;48.0480000;48.1540000
EURRUB;D;21/08/14;000000;48.1089000;48.2510000;47.7640000;47.8090000
EURRUB;D;22/08/14;000000;47.8080000;48.2560000;47.7131000;47.8030000
EURRUB;D;23/08/14;000000;47.8080000;47.8580000;47.7380000;47.8110000
EURRUB;D;24/08/14;000000;47.6810000;47.6810000;47.6670000;47.6760000
EURRUB;D;25/08/14;000000;47.6850000;47.7920000;47.5750000;47.6180000
